Title,Alternative Title,Description,Language,Creator,Title Source,Resource Class,Keyword,Date Issued,Temporal Coverage,Date Range,Spatial Coverage,Bounding Box,Resource Type,Format,Information,Download,ID,Identifier,Provider,Code,Member Of,Is Part Of,Rights,Accrual Method,Date Accessioned,Access Rights
Historical - ccgisdata - Commissioner Districts - Historical - [Illinois--Cook County] {2000},Historical - ccgisdata - Commissioner Districts - Historical - 2000,"Historical data. For current boundaries see https://datacatalog.cookcountyil.gov/id/vx2u-6dxj. The purpose of this dataset is to indicate the boundary of each Commissioner district in Cook County, Illinois. These boundaries are based off of Census 2000 geographies and were in effect until the December 2014 County Commissioner elections.",eng,datacatalog.cookcountyil.gov,Illinois--Cook County,Datasets,GIS/Maps,2014-05-30,2000,2000-2000,Illinois--Cook County|Illinois,"-88.26351,41.46952,-87.52405,42.15429",Vector data,Shapefile,https://datacatalog.cookcountyil.gov/d/26nm-wd5q,https://datacatalog.cookcountyil.gov/api/geospatial/26nm-wd5q?method=export&format=Original,socrata-26nm-wd5q,https://datacatalog.cookcountyil.gov/d/26nm-wd5q,Cook County Open Data,12b-17031-2,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17031-2,,Socrata,2023-03-20,Public
Historical - ccgisdata - Parcel [Illinois--Cook County] {2000},Historical - ccgisdata - Parcel 2000,The Parcel 2000 feature contains tax parcel polygons for the 2000 property tax assessment at the County. This feature reflects tax parcel polygons as they existed from 1/1/2000 through 12/31/2000. Each parcel is uniquely identified with a Property Index Number (PIN).,eng,datacatalog.cookcountyil.gov,Illinois--Cook County,Datasets,GIS/Maps,2016-03-31,2000,2000-2000,Illinois--Cook County|Illinois,"-88.26351,41.46952,-87.52405,42.15429",Vector data,Shapefile,https://datacatalog.cookcountyil.gov/d/x2ib-rt29,https://datacatalog.cookcountyil.gov/api/geospatial/x2ib-rt29?method=export&format=Original,socrata-x2ib-rt29,https://datacatalog.cookcountyil.gov/d/x2ib-rt29,Cook County Open Data,12b-17031-2,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17031-2,,Socrata,2023-03-20,Public
Boundaries - Census Tracts - [Illinois--Chicago] {2000},Boundaries - Census Tracts - 2000,"Census tract boundaries in Chicago. The data can be viewed on the Chicago Data Portal with a web browser. However, to view or use the files outside of a web browser, you will need to use compression software and special GIS software, such as ESRI ArcGIS (shapefile) or Google Earth (KML or KMZ), is required.",eng,data.cityofchicago.org,Illinois--Chicago,Datasets,Facilities&GeographicBoundaries,2013-05-23,2000,2000-2000,Illinois--Chicago|Illinois,"-87.940101,41.643919,-87.523984,42.023022",Vector data,Shapefile,https://data.cityofchicago.org/d/pt6c-hxpp,https://data.cityofchicago.org/api/geospatial/pt6c-hxpp?method=export&format=Original,socrata-pt6c-hxpp,https://data.cityofchicago.org/d/pt6c-hxpp,City of Chicago Data Portal,12c-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12c-01,,Socrata,2023-03-20,Public
Boundaries - Census Blocks - [Illinois--Chicago] {2000},Boundaries - Census Blocks - 2000,"2000 Census block boundaries clipped to Chicago. The data can be viewed on the Chicago Data Portal with a web browser. However, to view or use the files outside of a web browser, you will need to use compression software and special GIS software, such as ESRI ArcGIS (shapefile) or Google Earth (KML or KMZ), is required.",eng,data.cityofchicago.org,Illinois--Chicago,Datasets,Facilities&GeographicBoundaries,2013-05-23,2000,2000-2000,Illinois--Chicago|Illinois,"-87.940101,41.643919,-87.523984,42.023022",Vector data,Shapefile,https://data.cityofchicago.org/d/uktd-fzhd,https://data.cityofchicago.org/api/geospatial/uktd-fzhd?method=export&format=Original,socrata-uktd-fzhd,https://data.cityofchicago.org/d/uktd-fzhd,City of Chicago Data Portal,12c-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12c-01,,Socrata,2023-03-20,Public
Historical - ccgisdata - Parcel [Illinois--Cook County] {2001},Historical - ccgisdata - Parcel 2001,The Parcel 2001 feature contains tax parcel polygons for the 2001 property tax assessment at the County. This feature reflects tax parcel polygons as they existed from 1/1/2001 through 12/31/2001. Each parcel is uniquely identified with a Property Index Number (PIN).,eng,datacatalog.cookcountyil.gov,Illinois--Cook County,Datasets,GIS/Maps,2016-03-31,2001,2001-2001,Illinois--Cook County|Illinois,"-88.26351,41.46952,-87.52405,42.15429",Vector data,Shapefile,https://datacatalog.cookcountyil.gov/d/i2km-7cwi,https://datacatalog.cookcountyil.gov/api/geospatial/i2km-7cwi?method=export&format=Original,socrata-i2km-7cwi,https://datacatalog.cookcountyil.gov/d/i2km-7cwi,Cook County Open Data,12b-17031-2,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17031-2,,Socrata,2023-03-20,Public
2003 Ward Dataset CSVs - Crimes -  to present [Illinois--Chicago] {2001},2003 Ward Dataset CSVs - Crimes - 2001 to present,"As discussed in http://bit.ly/wardpost, the City of Chicago changed to a new ward map on 5/18/2015, affecting some datasets. This ZIP file contains a CSV export from 5/15/2015 of the ""Crimes - 2001 to present"" dataset. Due to size limitations, this file had to be separated from the CSV exports of the other datasets, which are at https://data.cityofchicago.org/d/q6z8-94kn. This CSV file contains a close-to-final version of the crimes dataset with the previous (""2003"") ward values.",eng,data.cityofchicago.org,Illinois--Chicago,Datasets,Administration&Finance,2015-06-11,2001,2001-2001,Illinois--Chicago|Illinois,"-87.940101,41.643919,-87.523984,42.023022",Vector data,Shapefile,https://data.cityofchicago.org/d/5wdx-rdkp,https://data.cityofchicago.org/download/5wdx-rdkp/application/zip,socrata-5wdx-rdkp,https://data.cityofchicago.org/d/5wdx-rdkp,City of Chicago Data Portal,12c-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12c-01,,Socrata,2023-03-20,Public
Historical - ccgisdata - Parcel [Illinois--Cook County] {2002},Historical - ccgisdata - Parcel 2002,The Parcel 2002 feature contains tax parcel polygons for the 2002 property tax assessment at the County. This feature reflects tax parcel polygons as they existed from 1/1/2002 through 12/31/2002. Each parcel is uniquely identified with a Property Index Number (PIN).,eng,datacatalog.cookcountyil.gov,Illinois--Cook County,Datasets,GIS/Maps,2016-03-31,2002,2002-2002,Illinois--Cook County|Illinois,"-88.26351,41.46952,-87.52405,42.15429",Vector data,Shapefile,https://datacatalog.cookcountyil.gov/d/3wb8-2she,https://datacatalog.cookcountyil.gov/api/geospatial/3wb8-2she?method=export&format=Original,socrata-3wb8-2she,https://datacatalog.cookcountyil.gov/d/3wb8-2she,Cook County Open Data,12b-17031-2,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17031-2,,Socrata,2023-03-20,Public
Historical - ccgisdata - Parcel [Illinois--Cook County] {2003},Historical - ccgisdata - Parcel 2003,The Parcel 2003 feature contains tax parcel polygons for the 2003 property tax assessment at the County. This feature reflects tax parcel polygons as they existed from 1/1/2003 through 12/31/2003. Each parcel is uniquely identified with a Property Index Number (PIN).,eng,datacatalog.cookcountyil.gov,Illinois--Cook County,Datasets,GIS/Maps,2016-03-31,2003,2003-2003,Illinois--Cook County|Illinois,"-88.26351,41.46952,-87.52405,42.15429",Vector data,Shapefile,https://datacatalog.cookcountyil.gov/d/gcqr-kbqq,https://datacatalog.cookcountyil.gov/api/geospatial/gcqr-kbqq?method=export&format=Original,socrata-gcqr-kbqq,https://datacatalog.cookcountyil.gov/d/gcqr-kbqq,Cook County Open Data,12b-17031-2,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17031-2,,Socrata,2023-03-20,Public
Historical - ccgisdata - Parcel [Illinois--Cook County] {2004},Historical - ccgisdata - Parcel 2004,The Parcel 2004 feature contains tax parcel polygons for the 2004 property tax assessment at the County. This feature reflects tax parcel polygons as they existed from 1/1/2004 through 12/31/2004. Each parcel is uniquely identified with a Property Index Number (PIN).,eng,datacatalog.cookcountyil.gov,Illinois--Cook County,Datasets,GIS/Maps,2016-03-31,2004,2004-2004,Illinois--Cook County|Illinois,"-88.26351,41.46952,-87.52405,42.15429",Vector data,Shapefile,https://datacatalog.cookcountyil.gov/d/6jt3-ndyu,https://datacatalog.cookcountyil.gov/api/geospatial/6jt3-ndyu?method=export&format=Original,socrata-6jt3-ndyu,https://datacatalog.cookcountyil.gov/d/6jt3-ndyu,Cook County Open Data,12b-17031-2,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17031-2,,Socrata,2023-03-20,Public
Historical - ccgisdata - Parcel [Illinois--Cook County] {2005},Historical - ccgisdata - Parcel 2005,The Parcel 2005 feature contains tax parcel polygons for the 2005 property tax assessment at the County. This feature reflects tax parcel polygons as they existed from 1/1/2005 through 12/31/2005. Each parcel is uniquely identified with a Property Index Number (PIN).,eng,datacatalog.cookcountyil.gov,Illinois--Cook County,Datasets,GIS/Maps,2016-03-31,2005,2005-2005,Illinois--Cook County|Illinois,"-88.26351,41.46952,-87.52405,42.15429",Vector data,Shapefile,https://datacatalog.cookcountyil.gov/d/f42p-dbfm,https://datacatalog.cookcountyil.gov/api/geospatial/f42p-dbfm?method=export&format=Original,socrata-f42p-dbfm,https://datacatalog.cookcountyil.gov/d/f42p-dbfm,Cook County Open Data,12b-17031-2,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17031-2,,Socrata,2023-03-20,Public
