portalName,total,new_items,deleted_items
08b-42003,61,61,0
04b-24003,11,11,0
10b-55003,9,9,0
11b-39009,39,39,0
04b-24005,204,204,0
05b-27011,15,15,0
04b-24009,16,16,0
10b-55025-01,47,47,0
04b-24013,34,34,0
05b-27019,93,93,0
08b-42027,87,87,0
08b-42029,55,55,0
05b-27023,7,7,0
13c-02,60,60,0
10c-03,161,161,0
05c-02,118,118,0
05b-27027,15,15,0
12b-17031,267,267,0
08b-42039,234,234,0
11b-39035,44,44,0
08b-42043,32,32,0
11b-39041,34,34,0
04f-01,154,154,0
07c-01,176,176,0
10b-55025,0,0,0
12b-17043,58,58,0
10b-55035-01,42,42,0
01b-18163,58,58,0
11b-39049,36,36,0
04b-24021,112,112,0
10b-55125-01,32,32,0
11a-01,726,726,0
05b-27051,34,34,0
04b-24025,112,112,0
05b-27053,28,28,0
1000-0001,121,121,0
09a-04,258,258,0
03a-03,238,238,0
03a-02,1018,1018,0
10b-55059,53,53,0
12b-17097,1527,1527,0
10b-55021,83,83,0
13c-01,226,226,0
03b-19113,137,137,0
11b-39093,201,201,0
04a-01,1512,1512,0
02b-17113,23,23,0
06a-02,193,193,0
10b-55079,59,59,0
08b-42091,1815,1815,0
13a-04,45,45,0
13a-01,183,183,0
14a-02,379,379,0
14a-01,731,731,0
06b-26125,327,327,0
13b-31055,83,83,0
04c-01,1781,1781,0
05c-01,229,229,0
01c-02,717,717,0
12c-02,11,11,0
10b-55087,164,164,0
08a-02,87,87,0
12b-17143,137,137,0
08c-01-2,383,383,0
10b-55093,5,5,0
05b-27119,72,72,0
05b-27121,40,40,0
10b-55101,107,107,0
05b-27123,36,36,0
05b-27129,58,58,0
05b-27137,18,18,0
13b-31153,137,137,0
10b-55111,84,84,0
06f-01,48,48,0
09c-01,121,121,0
10b-55109,5,5,0
11b-39151,103,103,0
06a-01,469,469,0
05b-27145,6,6,0
11b-39153,4,4,0
07d-02,89,89,0
12d-03,34,34,0
07b-26161,11,11,0
10b-55133,78,78,0
10b-55135,61,61,0
10b-55137,12,12,0
05b-27167,13,13,0
10c-04,145,145,0
10b-55141,17,17,0
05b-27173,9,9,0
08b-42133,69,69,0
